Duyuru Başlığı,Link,Eklenme Tarihi,Mail Durumu
Mimarlık ve Tasarım Fakültesi’den Bir Ödül Daha!,https://www.maltepe.edu.tr/tr/mimarlik-ve-tasarim-fakultesi’den-bir-odul-daha,30.12.2025 18:18,ℹ️ Listeye Eklendi
GSCSSC-2025,https://www.maltepe.edu.tr/tr/gscssc2025,30.12.2025 18:18,ℹ️ Listeye Eklendi
"Teknopark Hasat 2025’te, teknoloji ekosistemimizi yarınlara taşıyacak stratejik bir adım attık.",https://www.maltepe.edu.tr/tr/teknopark-hasat-2025,22.12.2025 18:18,ℹ️ Listeye Eklendi | Haftalık Raporlandı 25.12.2025
Küresel Köprüler Maltepe Üniversitesi’nde Kuruldu,https://www.maltepe.edu.tr/tr/kuresel-kopruler-maltepe-universitesi’nde-kuruldu,22.12.2025 18:18,ℹ️ Listeye Eklendi | Haftalık Raporlandı 25.12.2025
T.C. Maltepe Üniversitesi Rektörlüğünden: Üniversitemize “Öğretim Üyeleri”Alınacaktır.,https://www.maltepe.edu.tr/tr/tc-maltepe-universitesi-rektorlugunden-universitemize-“ogretim-uyeleri”alinacaktir,22.12.2025 12:18,✅ Özel Bildirim | Haftalık Raporlandı 25.12.2025
T.C. Maltepe Üniversitesi Rektörlüğünden “Araştırma Görevlileri” Alınacaktır.,https://www.maltepe.edu.tr/tr/tc-maltepe-universitesi-rektorlugunden-“arastirma-gorevlileri”-alinacaktir,18.12.2025 12:18,✅ Özel Bildirim | Haftalık Raporlandı 22.12.2025
TAGEM Ar-Ge Destek Programı Projesi Kapanış Toplantısı Yapıldı,https://www.maltepe.edu.tr/tr/kurucudan-i,16.12.2025 11:51,ℹ️ Listeye Eklendi | Haftalık Raporlandı 16.12.2025
TAGEM Ar-Ge Destek Programı Projesi Kapanış Toplantısı Yapıldı,https://www.maltepe.edu.tr/tr/tagem-arge-destek-programi-projesi-kapanis-toplantisi-yapildi,11.12.2025 12:18,ℹ️ Listeye Eklendi | Haftalık Raporlandı 15.12.2025
Maltepe Üniversitesi'nde “Kuantum Yüzyılı” Etkinliği Yapıldı!,https://www.maltepe.edu.tr/tr/maltepe-universitesinde-“kuantum-yuzyili”-etkinligi-yapildi,11.12.2025 12:18,ℹ️ Listeye Eklendi | Haftalık Raporlandı 15.12.2025
Konferans: “Medya Okuryazarlığı ve Dezenformasyonla Mücadele”,https://www.maltepe.edu.tr/tr/duyuru-listesi,02.12.2025 18:18,ℹ️ Listeye Eklendi | Haftalık Raporlandı 08.12.2025
Maltepe Üniversitesi ile Teknopark İstanbul Arasında Stratejik İş Birliği Protokolü İmzalandı,https://www.maltepe.edu.tr/tr/maltepe-universitesi-ile-teknopark-i̇stanbul-arasinda-stratejik-i̇s-birligi-protokolu-i̇mzalandi,27.11.2025 18:18,ℹ️ Listeye Eklendi | Haftalık Raporlandı 01.12.2025
T.C. Maltepe Üniversitesi Web Sayfasında 16/10/2025 -30/10/2025 Tarihleri Arasında Yayımlanan Araştırma Görevlisi İlanıyla İlgili Son Değerlendirme Sonuçları,https://www.maltepe.edu.tr/tr/tc-maltepe-universitesi-web-sayfasinda-16102025--30102025-tarihleri-arasinda-yayimlanan-arastirma-gorevlisi-i̇laniyla-i̇lgili-son-degerlendirme-sonuclari-,26.11.2025 10:06,✅ Özel Bildirim | Haftalık Raporlandı 01.12.2025
7. Hastalıkta ve Sağlıkta Dermatoloji Kongresi,https://www.maltepe.edu.tr/tr/7-hastalikta-ve-saglikta-dermatoloji-kongresi,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
Uluslararası Ticaret Ve Lojistik Bölümünden Bir Sosyal Sorumluluk Projesi,https://www.maltepe.edu.tr/tr/maltepe-universitesi-sosyal-sorumluluk-projesi,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
Innovative Learning For Cold Chain Food Logistics Project (InFoCoL) Açılış Toplantısı Maltepe Üniversitesi’nde Gerçekleşti,https://www.maltepe.edu.tr/tr/innovative-learning,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
Etkinlik Takvimi,https://www.maltepe.edu.tr/tr/etkinlik-takvimi,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
Kuantum Yüzyılı: Evrenin Gizemlerinden Modern Teknolojilere,https://www.maltepe.edu.tr/tr/kuantum-yuzyili-evrenin-gizemlerinden-modern-teknolojilere-25,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
CleanTech2025’in Davetli Konuşmacısı: Prof. Dr. Şener Oktik,https://www.maltepe.edu.tr/tr/cleantech2025’in-davetli-konusmacisi-prof-dr-sener-oktik,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
Maltepe Üniversitesi ile TÜRKKEP A.Ş. Arasında İş Birliği Protokolü İmzalandı,https://www.maltepe.edu.tr/tr/maltepe-universitesi-ile-turkkep-as-arasinda-i̇s-birligi-protokolu-i̇mzalandi,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
